TEA,SLN,AreaSqMi,thhE,thhM,oohhE,oohhM,rohhE,rohhM,ocb1E,ocb1M,ocb2E,ocb2M,ocb3E,ocb3M,ocb4E,ocb4M,ocb5E,ocb5M,rcb1E,rcb1M,rcb2E,rcb2M,rcb3E,rcb3M,rcb4E,rcb4M,rcb5E,rcb5M,bb1E,bb1M,bb2E,bb2M,bb3E,bb3M,bb4E,bb4M,bb5E,bb5M,commctrs,libct,SUM_SqMi,aduincar_c,STD_TotOff,aduincar_m,rv1,rv2,rv3,rv4,rv5,bv1,bv2,bv3,bv4,bv5,rvp,bvp,ltrvp,ltbvp,juvcrime_3,juvcrime,adupopE,popE,juvpopE,evf,avgevf
47,47,12.5663706144,24122.074954,1588.39485257,11365.1693607,1337.7956527,12756.9055933,1560.47062713,660.252340455,541.519841112,513.708547554,459.636143867,457.450029396,436.048747855,370.620323036,431.059575226,1288.40522213,671.322209652,2088.76608109,941.261196438,2174.32947379,886.533458618,952.089012853,650.989990808,512.920801181,517.965283738,153.726520288,303.465101963,9598.71275618,2180.95172427,29114.903603,3507.04710249,7228.40897387,1597.40618367,52938.7162504,4730.88199462,10996.1206669,2353.75173877,2,3,0.407743020708,89,1.64582086652,2.2365694344,31062.7150827,33.7852994281,35,41.2674679645,244.992354243,4755.6198704,58,132.164096234,49,389,0.0119801061289,0.106364340149,0.00945827078652,0.0823109685096,291,97,43631.1451683,52914.366362,5477.9563284,1433,716.5
69,69,12.5663706144,5975.30165351,435.487378464,3770.71135342,550.3369321,2204.59030009,503.09001126,367.216192342,235.549991722,326.45172709,225.804956675,190.021358271,155.758435018,111.722463068,112.308786667,11.2672311399,47.255506705,484.995483834,266.642133278,310.589767321,201.995790432,106.955509661,114.232926084,115.19647006,158.670078597,0.548091717423,50.7065117532,6454.2344356,1415.32927538,10325.6244314,1445.02977339,757.984261882,321.00212823,21969.1108035,2099.05800761,7957.40084375,1399.72463238,1,1,0.103543845628,59,5.21271028207,12.6526379737,8752.69154531,3.33850555617,3,7.88570010599,52.4755379876,421.324645682,0,0.796880732034,0,13,0.0166887836932,0.0721015067479,0.0142392751127,0.0649994267305,193,64,15043.6212353,21903.3803619,3052.46359324,1342,671
354,354,12.5663706144,6182.36696613,368.434512443,3448.34119762,449.871262777,2734.02576851,512.57346265,390.052500617,245.768818531,248.014673453,205.854801316,163.270016611,145.748771673,55.7198337594,84.833764404,11.9484452116,64.5299009191,753.824791718,299.651376068,579.393523515,367.409568263,48.7778209421,70.5498301501,9.07992642693,52.6491852608,0,52.9043866591,2460.38791203,898.569199612,5853.17984821,1289.54930538,953.709378662,340.070780374,17600.5756992,2002.13514961,5205.49125606,1357.46099198,2,1,0.506254303761,176,8.50997720742,20.7550963898,8361.1191255,9.90626427739,7,12.3246646071,223.81563994,433.321346857,0,0.123384726087,0,19,0.0334660116871,0.0580815817935,0.0304379299359,0.05523051308,376,125,13198.1006434,17575.513505,2132.44242467,737,368.5
62,62,12.5663706144,20071.306565,1855.73147144,4808.54268938,1263.34693063,15262.7638756,1995.53178186,497.206644821,438.120515122,376.823215389,409.842337938,127.701046516,290.900433235,134.438267034,308.926512843,82.3152302995,263.641335474,3148.93995107,1265.50861854,1923.09827785,1076.75578223,748.917055969,582.396838351,703.662206584,570.033604661,68.169837005,251.280046228,4610.97754038,2145.04977718,21209.5605671,3712.49543363,1624.7897506,911.675199031,43029.6214022,5574.16835894,8274.01195366,2836.76086888,12,2,1.11429166985,452,3.03124049074,7.47807682876,31815.1497402,61.6074437224,101,85.5435392779,1075.28004801,7233.24472756,102,77.7820637341,25,901,0.0558617220706,0.0996285106716,0.0501529628898,0.0949742515869,1225,408,38313.3877003,45235.4924003,5138.06715157,3922,1961
76,76,12.5663706144,23170.7447231,1267.74749325,11134.6544685,1356.87842054,12036.0902545,1711.2593847,713.605358282,623.099120191,665.510155685,569.825925645,836.845417243,597.564005001,395.446724639,414.113892326,212.518601828,295.923133492,2874.12000305,1171.42944762,2293.55285366,1192.90113497,455.909048258,472.202109693,276.114225328,361.070396351,29.827235515,195.343196027,13422.6573058,3698.86695963,29758.3171609,4166.11625805,4060.34301132,1307.76819418,64852.1706815,6294.51878295,18948.9656731,4180.88204448,2,2,0.170044795464,326,2.227075896,4.73264853699,26582.1491177,85.5173668143,80,91.9822220395,698.240206118,2182.10577627,5,17.1248598006,1,307,0.0335034580886,0.192078188849,0.0256707411524,0.172348886649,655,218,47764.3786179,64883.7649447,8172.52121804,3308,1654
353,353,12.5663706144,17087.8270628,1046.48350527,9249.99466555,1258.38868031,7837.83239727,1394.78554794,919.866833037,585.812952671,981.571168837,688.894203164,645.025566768,489.077451351,198.107429561,328.627740153,39.6176651979,177.099674919,1625.24260217,824.755231474,1804.66848326,910.889507004,720.722175405,605.819138873,107.807010402,234.75658564,0,156.233579395,12826.6911988,3396.47315106,23049.1937713,3810.07152323,2265.40834753,885.613103436,56967.5534062,5622.16175192,19406.440287,3576.12946725,1,0,0.128866237353,289,1.68658109674,4.03238142388,19457.8874408,32.7552530457,29,40.4651459404,316.000450433,1471.4750967,0,1.14690603514,0,104,0.0225312406108,0.103850846915,0.0179339048935,0.100326881911,627,209,39973.856126,56767.7695203,8715.11407541,3090,1545
53,53,12.5663706144,29473.5477675,2161.29973786,10946.1641287,1714.9666795,18527.3836388,2290.57615321,795.705357261,684.73892488,391.261388348,477.910410007,333.119607118,468.021997405,455.527783729,530.773666047,729.623973601,608.201933085,3704.57679281,1481.8225522,2256.76389789,1223.99348869,1017.25835031,812.945036299,438.977615437,527.034581767,106.407471069,318.454605428,11143.4708719,3462.40318199,38587.4584175,5253.70872912,3699.88308471,1478.49541593,67684.2199563,7314.08626613,14774.5210866,3921.42806084,4,1,1.49300351129,286,1.37939250574,3.07091928828,36735.9513623,86.3184226822,89,103.034832372,650.549963957,2824.27630901,0,8.43165539873,18,187,0.0251000834955,0.0900269237365,0.0203009602416,0.0860651215333,517,172,54472.6647507,67850.3644662,6669.61178697,2277,1138.5
55,55,12.5663706144,24405.9306926,1795.49237527,9074.59158806,1367.02518161,15331.3391046,1909.72709821,490.600206893,402.440112913,436.077920781,420.807313357,284.683859056,323.59199316,394.795293744,381.0049691,752.901105555,477.421588381,2083.80985821,1081.53756838,1719.73221002,998.438326023,1130.90113035,830.564908116,759.977056337,720.139771688,193.083123301,273.671719422,6174.35058699,2222.90858156,30884.5642015,4192.39723975,4211.7631205,1265.87875698,48790.6107018,5103.94832367,7777.49471259,2276.33365663,6,2,0.167880172345,113,2.43930431059,6.05163144178,32385.595414,26.3228739962,49,63.6068017208,335.091045359,5284.751866,3,30.8453258771,58,475,0.0108372902538,0.118332951094,0.0089851558672,0.111557517701,349,116,44209.143567,49695.3486347,5000.4256758,1584,792
79,79,12.5663706144,18547.6469471,1065.09694739,6731.85144345,903.496207989,11815.7955037,1187.71543773,334.595319233,306.859117458,394.285680092,355.929410578,274.649984171,300.11927453,358.269844917,347.296002127,300.209399036,327.846051661,1845.753843,808.541594027,2666.62597763,918.683996296,662.808558466,485.818486238,204.174661878,251.366830352,7.4291414194,184.787516511,10334.5969537,2703.52226192,24975.9318985,3900.68493759,2638.74793624,941.136938141,55686.602159,5065.33768475,15363.6929277,2769.39560249,1,1,0.849873039041,103,1.61929701467,3.30262008993,23824.5319302,14.627717669,17,18.9531323146,276.800344066,4567.10107679,0,26.2201796073,18,511,0.00905276308559,0.109630964022,0.00752321606543,0.104891868958,574,191,42345.0088596,55575.8457096,7352.34126622,1763,881.5
77,77,12.5663706144,18877.0567355,1444.0333488,7459.32669245,1368.41534045,11417.730043,1681.86839038,728.206719252,548.589445986,463.88188483,465.201902046,205.182710427,307.54102307,147.230802805,251.472179804,251.199452272,343.035164359,2217.50631396,983.077751613,1729.28169325,991.133325562,622.791577517,606.699032993,404.757494921,397.511291884,15.6521390269,203.441416969,10994.7087267,3248.01299684,26387.2336322,3804.43592307,2326.37989011,994.444202321,51190.3347037,5844.03679552,13526.5078217,3486.10260691,2,1,1.4292787259,306,0.989524620654,1.95391261362,26144.6804692,32.4759767049,31,67.4068300067,1006.21951303,4477.08438754,10,19.255535361,2,343,0.0616766812645,0.136797897397,0.058050415944,0.132165585183,681,227,40867.173237,52547.2657854,6456.73655948,1593,796.5
