TEA,SLN,adupopE,adupopM,popE,popM,belpovE,belpovM,kidsE,kidsM,cbpE,cbpM,u5E,u5m,u5bpE,u5bpM,econ_5t17E,econ_5t17M,econ_5t17b,econ_5t1_1,juvpopE,juvpopM,unemE,juvunemE,urE,urM,medincM,pyrE,pyrM,AreaSqMi,blockcount,lwjobs,mwjobs,totjobs,paydayct,creditunio,retailbank,medincE,MEAN_eco_2,econ_popov,econ_pop_1
47,47,43631.1451683,3760.0032606,52914.366362,4734.30496315,6697.77544041,2765.75669904,10953.4175907,2358.17659087,2187.39656034,1369.41318987,3423.1188826,1482.29580513,795.624192539,670.799203009,7530.29870815,1954.13718121,1391.7723678,1012.70253058,5477.9563284,1776.79281781,1547.30845965,790.448283709,2.98285616105,2.35454913437,16846.5966355,14.7312509683,67.0059707934,12.5663706144,427,16017,20096,66643,7,2,34,66860.2975052,11991.7273748,43629,3761
69,69,15043.6212353,1511.11290155,21903.3803619,2095.30024227,4632.84135836,1723.20795255,7888.29773939,1399.28719161,2254.81329651,1106.35944809,2233.1212382,667.994954425,714.253427291,462.611936946,5655.17650118,1188.57354533,1540.55986922,801.739275648,3052.46359324,776.670058593,737.063263701,770.304410234,5.04594219776,2.88514910434,8234.30840214,22.0528464098,24.202937112,12.5663706144,70,412,692,1802,0,0,0,23866.9719092,3175.47347876,15043,1511
354,354,13198.1006434,1384.275295,17575.513505,1991.04679888,4609.08645591,1450.72063316,5171.28662654,1342.6218447,1899.93323108,862.732975886,1199.70164395,532.812457449,407.381204082,276.334264827,3971.58498259,1113.5143616,1492.552027,710.596644117,2132.44242467,744.103143312,1267.72236371,458.443519019,8.40080051811,4.5596600557,6812.16567137,18.6626694381,41.4194840959,12.5663706144,43,739,1373,2994,0,0,0,20214.399823,2603.76992739,13199,1381
62,62,38313.3877003,4544.02433403,45235.4924003,5646.20950389,13860.8321629,4208.12173982,8252.77868292,2821.42638978,3909.52511056,2358.91801227,2587.18190352,1463.42287573,1182.43948141,1010.85841683,5665.59677941,2164.91852974,2727.08562914,1742.64537671,5138.06715157,2055.16984282,2715.74268912,1339.80777273,7.94471782312,4.90595606765,8692.42930902,27.3006439762,65.8745552873,12.5663706144,591,18924,35020,158290,12,15,30,26579.1763431,4809.64173054,38310,4538
76,76,47764.3786179,4064.23504713,64883.7649447,6276.17477644,14155.8074833,5729.48514153,18863.8418697,4165.41432249,6309.80299421,3405.96670857,5749.21603009,2266.01002743,2001.02362509,1455.98513638,13114.6258396,3242.50361166,4308.77936912,2506.81817064,8172.52121804,2490.27360477,2186.35357627,1831.94780501,4.30773145956,2.96258096477,7663.86645682,17.2925056301,33.5941929714,12.5663706144,224,5123,7413,20723,7,7,4,28924.0361927,4264.0119327,47759,4056
353,353,39973.856126,3918.89755542,56767.7695203,5577.49076847,14518.3086387,5342.38936066,19184.3560455,3545.80524939,6999.7031509,3357.1537167,5198.33660586,1925.26886838,1733.84198284,1304.85089857,13986.0194396,3000.61468343,5265.86116806,2660.09837158,8715.11407541,2392.50855956,1843.38930151,2715.11568615,4.61259846516,3.37584495982,7418.49598603,26.8332341243,31.588649189,12.5663706144,178,4372,8387,21652,2,0,1,24000.5438858,3094.79484699,39965,3918
53,53,54472.6647507,5438.33727622,67850.3644662,7288.18516532,13110.9497587,5055.84913329,14644.9405089,3896.11481508,4621.89328633,2880.34970555,4925.24224632,2081.1831582,1408.8415276,1242.79893374,9719.69826257,3173.57969444,3213.05175873,2243.54111833,6669.61178697,2404.68945071,2310.48216275,2026.206637,3.8806571218,2.65674016998,15898.5493781,30.7617744142,60.5927858226,12.5663706144,541,5409,6439,17969,11,7,10,44739.6076922,5395.11661562,54464,5428
55,55,44209.143567,4468.3480837,49695.3486347,5308.2722701,6510.69668434,3448.11551897,7742.75789025,2280.52180745,1302.7427612,1273.87073871,2195.18406385,1211.83096193,526.936929098,684.310223366,5547.5738264,1931.79158317,775.805832103,844.550548409,5000.4256758,1999.14530082,1340.3652841,509.687705337,3.23738655652,14.6450749545,12956.6774846,7.92170094368,57.2467654133,12.5663706144,501,14588,28594,108354,10,3,22,34882.4679238,5872.37497413,44208,4467
79,79,42345.0088596,3795.51373801,55575.8457096,5005.87185889,9884.76296253,3706.02761684,15218.8403726,2726.96932475,4208.6334808,1948.7186228,4391.43021785,1456.26733359,1448.24662959,900.291505981,10827.4101548,2236.47735359,2760.38685121,1371.01189435,7352.34126622,1975.56546891,2002.05609566,2319.4084513,3.61293334146,6.7764302409,9012.90408743,17.4655388778,63.5982444559,12.5663706144,302,10091,14866,42201,23,1,11,34485.9218932,3980.20391362,42342,3791
77,77,40867.173237,4125.62194334,52547.2657854,5912.29434814,13057.5064849,4709.70860584,13386.2672157,3540.20705672,4997.98058205,2882.07891914,3521.99888998,1777.51790941,1351.98156195,1152.99332688,9864.26832568,2884.43446354,3645.9990201,2254.46296735,6456.73655948,2151.24831889,3353.56153603,3753.76158857,8.54457974977,4.63938908489,7545.24592755,53.115696682,59.5060734349,12.5663706144,376,6527,11596,29192,9,3,7,26630.3992156,4973.37928655,40864,4109
