TEA,SLN,AreaSqMi,popaduE,popaduM,bachE,bachM,profE,profM,k34E,k34M,multdegE,multdegM,k34esE,k34esM,multdegCV,k34esCV,oostct,oostcap,oostcap_me,qualcc,kidsE
47,47,12.5663706144,38159,3437,13735,2701,9465,1997,1318,913,23206,3396.32347736,691,766.773094693,10.0320066879,65.472634916,17,1911,112.411764706,0,10953.4175907
69,69,12.5663706144,11991,1156,617,317,192,160,835,422,815,361.488989258,203,235.516385061,29.8809832261,75.2572157555,3,234,78,0,7888.29773939
354,354,12.5663706144,11066,1030,804,419,307,186,603,358,1111,464.103855509,306,248.426767624,23.3541838359,65.5035754558,8,562,70.25,1,5171.28662654
62,62,12.5663706144,33182,4033,6730,1762,3433,1158,955,783,10187,2168.66884675,460,687.659104571,24.8633341087,82.4603080885,36,3197,88.8055555556,2,8252.77868292
76,76,12.5663706144,39601,3468,5439,1604,2882,1113,2329,1349,8340,1987.97499519,701,767.058363277,18.4301483025,65.778388182,21,1482,70.5714285714,0,18863.8418697
353,353,12.5663706144,31263,3085,1998,995,710,543,2315,1219,2718,1168.80014041,452,606.991388845,27.7902422883,79.962999042,12,829,69.0833333333,0,19184.3560455
53,53,12.5663706144,47805,4871,13265,2696,7837,1929,2260,1291,21102,3382.6408787,1202,1031.66319445,13.6728463456,52.4277280916,28,2383,85.1071428571,1,14644.9405089
55,55,12.5663706144,39211,4125,11927,2315,8042,1950,907,712,19976,3054.97102437,532,633.832483413,8.31366451574,63.5003673866,17,1565,92.0588235294,1,7742.75789025
79,79,12.5663706144,34990,3331,4867,1256,2494,899,1649,829,7361,1590.3828073,666,622.85324783,15.1084794512,63.5235449079,13,737,56.6923076923,1,15218.8403726
77,77,12.5663706144,34400,3452,5883,1758,2753,938,1221,879,8674,2068.38417912,659,769.741356585,21.9911841916,68.8073168954,28,2141,76.4642857143,2,13386.2672157
68,68,12.5663706144,32852,3294,4343,1188,2303,792,1988,1053,6669,1503.36824055,855,763.087238552,23.908579358,70.6904578316,25,2700,108,1,14857.6893872
59,59,12.5663706144,51387,4758,3769,1486,1521,755,3328,1654,5344,1782.16869581,1612,1293.80528151,24.7079592055,57.7462343229,19,1560,82.1052631579,0,26756.4439215
48,48,12.5663706144,41472,3567,7657,1860,4762,1423,1879,1171,12435,2367.4375867,547,624.744281835,14.0502448902,49.7651792693,24,1819,75.7916666667,0,16509.1021563
50,50,12.5663706144,37112,2971,10393,2006,6651,1536,1926,918,17069,2550.70929128,783,664.002681544,9.97303016307,54.1060064457,25,2056,82.24,0,12582.7115127
72,72,12.5663706144,26546,2963,1182,699,388,302,1328,921,1600,797.716631557,586,602.065744298,32.9617325249,54.6303113899,33,2593,78.5757575758,7,11521.9072992
43,43,12.5663706144,29240,2727,2347,876,1155,530,1814,1008,3542,1094.85105444,1007,769.842007139,25.7021148401,57.4946412188,13,1512,116.307692308,0,15021.633519
100,100,12.5663706144,43774,3928,3187,1242,1413,685,2878,1459,4660,1532.00724793,1398,1111.96526576,25.0770871318,56.168175703,19,1548,81.4736842105,1,23364.9199907
284,284,12.5663706144,33820,2943,7285,1632,4300,1175,2082,1025,11603,2024.02688195,763,670.8754548,15.3171002459,63.6491193221,24,2081,86.7083333333,0,13993.1377418
280,280,12.5663706144,48835,4407,15803,3251,8323,2451,1669,1281,24123,4106.82620127,732,898.05496876,9.50918409203,84.9446722181,7,656,93.7142857143,0,12772.8596711
169,169,12.5663706144,34583,3074,11790,2369,8528,1793,966,711,20326,3006.45047291,525,590.849088105,9.85848221967,50.3560083831,22,2757,125.318181818,0,8440.9977273
167,167,12.5663706144,12399,1183,657,345,217,191,955,474,882,400.913262562,241,267.886821242,31.3925200702,77.0847651965,3,234,78,0,8194.78578248
187,187,12.5663706144,11966,1057,496,310,130,143,827,416,629,353.192893524,148,201.674998834,35.4723433465,99.3603342088,5,275,55,0,7053.19284027
305,305,12.5663706144,6489,564,273,172,103,119,429,220,385,219.786895129,70,104.945091854,35.6939817256,92.0161336757,2,119,59.5,0,3787.34324933
142,142,12.5663706144,15407,1652,902,535,211,171,889,606,1126,575.525415272,363,351.816785442,29.7136263687,60.1667944143,15,1020,68,4,6776.86244853
301,301,12.5663706144,5470,427,353,169,198,102,181,116,549,198.253651647,67,83.5591632092,21.9161028456,87.0655774162,4,274,68.5,0,2233.58903623
235,235,12.5663706144,25760,2591,2187,928,1133,589,1257,771,3327,1125.81940562,652,597.695529543,25.9868473609,63.3442183969,27,2643,97.8888888889,0,11924.6565532
175,175,12.5663706144,24782,2502,2047,883,1149,604,1044,675,3198,1094.42618594,560,541.087871411,24.9223579972,67.571725146,21,1972,93.9047619048,1,11435.7917412
264,264,12.5663706144,24757,2416,2410,945,1136,570,1451,843,3555,1125.53815024,725,608.245250319,24.5733617745,66.4812766144,33,4874,147.696969697,0,11988.9219041
226,226,12.5663706144,20020,2022,1465,686,850,465,754,549,2317,845.058245608,401,432.605408986,25.5687554697,70.3653819217,15,1475,98.3333333333,1,9347.68338449
109,109,12.5663706144,19317,1978,591,413,159,204,1525,784,760,492.733975512,382,437.23711844,38.0004921676,92.9469827013,22,1256,57.0909090909,2,12273.340685
117,117,12.5663706144,16215,1771,547,385,126,159,1261,645,688,442.93344532,436,436.936980669,39.4962892041,74.9815607441,13,769,59.1538461538,2,10012.5341959
266,266,12.5663706144,21372,2261,642,468,175,225,1672,870,829,560.194811816,478,516.160535336,40.7391925789,82.6032137077,22,1199,54.5,2,13470.0798926
108,108,12.5663706144,37822,3267,6543,1611,3943,1230,2064,1200,10515,2074.60808547,720,691.653133192,16.5467314085,52.545870503,22,1650,75,0,16107.6605177
129,129,12.5663706144,40329,3483,6677,1742,3884,1275,2170,1285,10581,2196.16845058,678,744.356890709,16.2209976051,57.3414547768,21,1441,68.619047619,0,17582.2256735
218,218,12.5663706144,41589,3652,6085,1733,3391,1251,2164,1340,9487,2164.01279188,571,689.378063237,17.4488523285,56.7934594327,18,1189,66.0555555556,0,19061.538266
216,216,12.5663706144,35700,3600,1648,942,603,548,2541,1269,2271,1145.49928153,610,703.033615333,33.4204885358,70.0542204874,17,1270,74.7058823529,0,22956.8657834
139,139,12.5663706144,30216,3644,3323,1131,1463,708,1550,1001,4812,1394.18112671,667,704.994590798,29.6843042778,84.4645895724,35,3036,86.7428571429,1,12227.3372607
240,240,12.5663706144,36862,3358,3691,1251,1809,828,2275,1264,5524,1548.88509862,613,661.529678389,22.9817502261,68.5059107788,16,1018,63.625,0,18960.7289581
128,128,12.5663706144,23923,2993,4154,1172,1818,713,681,613,6009,1438.14433235,336,536.788000265,30.5772327861,77.7098442614,28,2602,92.9285714286,2,6530.86517793
200,200,12.5663706144,20219,2638,1240,620,477,382,1126,753,1742,780.057549683,555,569.348205572,37.6401301272,85.2649460248,33,2801,84.8787878788,1,8754.6532109
201,201,12.5663706144,18392,2448,1929,729,725,428,719,594,2687,903.650654321,291,464.79201995,36.5571898978,82.1693934336,27,2177,80.6296296296,2,6476.86168799
232,232,12.5663706144,34828,3178,4137,1243,2186,874,2153,1186,6352,1577.07636276,643,633.248382337,22.8757337281,54.5232872381,21,1202,57.2380952381,0,16580.9031225
209,209,12.5663706144,24661,2608,1730,712,866,452,1668,898,2610,902.210501089,627,577.575012022,34.2254707208,52.2072182818,15,1108,73.8666666667,0,12956.3401687
155,155,12.5663706144,31386,3109,1821,943,635,528,2246,1160,2473,1118.4956133,504,612.177430126,29.3090590031,75.2878538683,13,1067,82.0769230769,0,19687.7555403
247,247,12.5663706144,32450,3145,2334,974,1018,534,2256,1164,3365,1159.44430861,518,603.492740393,27.9311291065,72.6114867874,18,1195,66.3888888889,0,18489.614338
