TEA,SLN,AreaSqMi,hhcE,hhcmhE,hhcmhM,hhcfhE,hhcfhM,tphhE,affcc,affcc_capa,lcc,kidsE
47,47,12.5663706144,5878.35091849,304.585665569,421.151442159,1077.18762718,733.173721783,4496.57762575,3,193,21,10953.4175907
69,69,12.5663706144,2984.5942594,431.575440412,279.495126968,875.652422656,362.123372501,1677.36639634,1,126,1,7888.29773939
354,354,12.5663706144,1901.4862203,312.303299578,232.16997648,969.420664435,398.40234778,619.762256282,4,236,6,5171.28662654
62,62,12.5663706144,3104.74995692,336.615266909,412.361330291,1576.60086639,861.428638661,1191.53382362,15,1381,30,8252.77868292
76,76,12.5663706144,7432.46695003,573.118358735,508.360928085,2394.53824505,1157.27869291,4464.81034625,17,1281,24,18863.8418697
353,353,12.5663706144,7194.12144086,559.91452857,517.721370874,2457.604686,1117.02162847,4176.60222629,10,632,12,19184.3560455
53,53,12.5663706144,6667.82607067,557.52406664,598.561371959,1929.53853211,1178.79958091,4180.76347192,7,364,32,14644.9405089
55,55,12.5663706144,3813.32595915,312.303754709,407.672773938,724.396695524,570.755892159,2776.62550891,6,741,12,7742.75789025
79,79,12.5663706144,6780.97789207,360.434292975,371.200203452,1541.29517446,736.919368859,4879.24842463,4,157,6,15218.8403726
77,77,12.5663706144,4987.36191386,586.941930232,575.81244254,1887.37229339,966.731543279,2513.04769024,12,950,24,13386.2672157
68,68,12.5663706144,5595.49142764,374.806743983,429.015962813,1772.34916084,819.76147463,3448.33552281,18,1599,23,14857.6893872
59,59,12.5663706144,9253.96737081,796.582183862,720.885720277,2854.16161686,1311.14393584,5603.22357009,13,1123,17,26756.4439215
48,48,12.5663706144,6852.73511298,525.003331536,483.19302512,1835.48924992,1010.56437746,4492.24253152,11,1022,27,16509.1021563
50,50,12.5663706144,6166.02058052,263.811283504,317.360939217,1191.88419494,680.710281187,4710.32510207,7,441,24,12582.7115127
72,72,12.5663706144,3937.04266495,428.199238571,456.589275565,2164.24953299,913.805941393,1344.59389339,28,1641,25,11521.9072992
43,43,12.5663706144,5318.61534161,519.228941818,481.201754582,2181.46083622,921.028489597,2617.92556358,12,983,15,15021.633519
100,100,12.5663706144,8007.45095898,759.719683164,660.929869607,2683.77032077,1202.36463268,4563.96095504,15,1176,21,23364.9199907
284,284,12.5663706144,6157.02056435,328.8515109,337.824995395,1574.15086809,789.150113421,4254.01818536,9,622,24,13993.1377418
280,280,12.5663706144,6746.29860736,897.545662931,832.562149692,2464.64456877,1398.17682803,3384.10837566,6,472,11,12772.8596711
169,169,12.5663706144,4682.99222131,367.693670342,448.585000275,1033.64427395,700.145200115,3281.65427702,5,365,26,8440.9977273
167,167,12.5663706144,2987.04036366,417.077105336,278.795966703,898.147706927,395.509239205,1671.8155514,1,126,1,8194.78578248
187,187,12.5663706144,2434.56553791,188.475584768,156.078815746,605.133138401,293.774303338,1640.95681474,3,182,3,7053.19284027
305,305,12.5663706144,1269.39353366,86.786354741,85.5061739583,363.562061953,160.98975125,819.045116962,2,52,2,3787.34324933
142,142,12.5663706144,2362.05011426,315.170124064,307.251824585,1454.05918508,603.038591729,592.820805113,12,780,12,6776.86244853
301,301,12.5663706144,818.313832477,118.545644183,88.6303329809,370.72340929,152.135108919,329.044779004,2,99,3,2233.58903623
235,235,12.5663706144,4039.41998134,460.355165553,487.646514961,2314.61431012,917.572042108,1264.45050566,20,1308,22,11924.6565532
175,175,12.5663706144,3873.87364303,434.609996056,471.093476553,2150.14735401,874.298906343,1289.11629297,22,1190,20,11435.7917412
264,264,12.5663706144,4310.48803853,482.799149544,484.396989801,2639.26523857,950.797713943,1188.42365042,25,1775,29,11988.9219041
226,226,12.5663706144,3213.1286103,355.082523665,382.829910881,1672.93149143,720.437595814,1185.1145952,15,1004,14,9347.68338449
109,109,12.5663706144,4265.52779142,236.801201616,254.404182578,1560.62337365,653.32536287,2468.10321616,8,479,10,12273.340685
117,117,12.5663706144,3294.21508341,221.44073624,230.669900684,1351.69115617,563.463347284,1721.083191,7,372,8,10012.5341959
266,266,12.5663706144,4555.29128099,247.734180832,273.005153809,1657.6521198,708.946793327,2649.90498035,10,550,11,13470.0798926
108,108,12.5663706144,6628.22101008,374.670120065,378.935943739,2113.15277944,1049.01688186,4140.39811057,15,1192,24,16107.6605177
129,129,12.5663706144,7186.05891796,524.387109393,476.580784399,2294.37975376,1132.41338455,4367.29205481,15,1225,23,17582.2256735
218,218,12.5663706144,7523.45724317,676.931626566,582.949211174,2154.57372276,1137.1096287,4691.95189384,14,1201,26,19061.538266
216,216,12.5663706144,8293.39757458,692.961503088,637.016469848,2632.34306448,1202.19899909,4968.09300701,11,1040,14,22956.8657834
139,139,12.5663706144,4185.66801594,413.03810559,431.047165789,1678.50461897,876.343991184,2094.12529137,13,917,20,12227.3372607
240,240,12.5663706144,7223.4592942,403.168006156,414.428993802,2333.22206891,1089.19508779,4487.06921914,14,730,17,18960.7289581
128,128,12.5663706144,2364.08142097,295.228754924,330.707258027,1325.60178653,666.102385537,743.250879519,13,1168,20,6530.86517793
200,200,12.5663706144,2863.37238131,331.140491545,339.173720752,1294.84078819,626.58191921,1237.39110158,14,929,19,8754.6532109
201,201,12.5663706144,2191.46590442,262.531721868,288.718843247,1224.37566661,587.28419868,704.558515941,14,1180,17,6476.86168799
232,232,12.5663706144,6345.27442832,295.744046709,354.438967464,1952.53432145,980.779281403,4096.99606016,16,879,20,16580.9031225
209,209,12.5663706144,4509.57629344,385.756880454,381.227433842,1462.47521362,715.302635722,2661.34419937,8,351,9,12956.3401687
155,155,12.5663706144,7262.96466786,635.532203533,573.36192852,2439.45375907,1111.27158976,4187.97870526,7,651,8,19687.7555403
247,247,12.5663706144,6795.28435341,403.37687089,413.041177459,2145.3011676,992.5586842,4246.60631492,14,759,16,18489.614338
162,162,12.5663706144,7708.33827334,408.69378036,580.054741078,1171.12025902,977.276201282,6128.52423396,3,258,29,13104.4474923
