TEA,SLN,AreaSqMi,totalpopE,popunisE,popinsE,priE,pub,bphighE,casthmaE,checkupE,SUM_mhlthE,obseityE,phlthE,sleepE,strokeE,POP,SCHOOLNAME,STD_hel_le,MEAN_hel_l,pharm,clinicct,groc,avgfruits,avgveg
47,47,12.5663706144,52917,6792,46122,38153,13577,15577.8503414,4003.27802891,33302.9179006,5514.33766471,13734.0856457,5304.34025552,14386.9046022,1376.55506359,52914.366362,Franklin International Exploratory Academy Middle School,3.46569741257,69.6333745949,51,8,12,240.662309925,239.537071587
69,69,12.5663706144,21971,6636,15332,7321,8421,7231.29059401,2268.00650763,14443.9797728,4161.51197954,8711.51296818,3707.39584695,8362.89362073,721.6517924,25553.6259167,Seagoville Middle School,2.25061780136,58.5292709153,2,1,1,168.928730565,177.320896788
354,354,12.5663706144,17782,3327,14452,7337,7749,8438.80163427,2057.22801626,13251.1019989,2869.56575551,7766.58057913,2991.67421408,7232.27696148,1030.24789814,17575.513505,Kennedy-Curry Middle School,2.51475429997,72.6215628371,3,1,1,153.154372532,163.12852196
62,62,12.5663706144,45641,10880,34740,19901,15865,17146.3436303,4648.72783058,30664.2846318,7296.57954888,17863.6790351,7055.4600822,17137.6148916,2042.29599464,45235.4924003,Dade Middle School,4.22901991537,48.656543509,30,15,7,158.821009076,167.656490616
76,76,12.5663706144,64955,15660,49303,31481,21041,27523.9840808,7798.74175232,52239.6392641,12555.3346138,28974.5640811,11905.5444121,28424.2677114,2888.03999119,77627.9261727,Lang Sr. Middle School,1.59599047992,77.2372448024,13,2,3,186.43927473,193.316156422
353,353,12.5663706144,56969,15930,41033,22472,20306,20230.58445,5813.54511836,37740.0740534,9822.35153336,22608.3287083,9206.87165897,21677.151789,2143.7379831,56767.7695203,Richards STEAM Academy Middle School,2.40662701596,75.7514036022,9,1,4,171.833544209,180.509955823
53,53,12.5663706144,68031,14504,53515,38678,16886,19284.6325203,5899.55637691,43100.7457797,9431.45926193,22088.8760285,8354.76593592,22188.4847529,1779.81692718,67850.3644662,Long Middle School,3.67033000091,67.1616372356,13,5,10,194.384795584,204.275930115
55,55,12.5663706144,49743,8499,41240,34067,10270,11877.6628184,3439.27861046,27357.282378,5261.95571063,13135.4985092,4564.485369,13740.1753782,990.674973319,49695.3486347,Rusk Middle School,2.43848204313,47.2691062857,52,14,10,207.774839673,214.614648679
79,79,12.5663706144,55723,22795,32923,20133,14241,15878.6138312,4858.18878867,33823.0583733,9201.45476591,19866.2676642,8262.17315726,19369.1679354,1441.24981787,55575.8457096,Medrano Middle School,2.81027380585,65.2336990644,10,2,5,194.809819368,197.958439294
77,77,12.5663706144,52766,13547,39206,22512,18046,18695.0905709,4998.93705601,34715.3405037,8329.11382522,20241.2608283,8195.11672922,19230.5307114,2075.20617766,52547.2657854,Garcia Middle School,2.64869682233,60.5064611456,11,5,7,166.491923367,174.145003793
68,68,12.5663706144,53583,15098,38466,22833,17162,17659.4874893,4871.15902669,34334.82275,8591.11027301,19914.7214028,8416.59529873,18826.239156,1844.9594305,53438.4457837,Quintanilla Sr. Middle School,2.82430333966,74.4079176849,13,7,7,167.878078745,174.245916852
59,59,12.5663706144,88654,25024,63610,36814,29264,28748.8817568,8133.60212445,56309.0395112,14608.366752,33248.5788342,14247.3834904,31361.09717,2971.98935107,88395.1341883,Stockard Middle School,2.27239508499,77.9330049383,12,2,10,174.299764978,183.614898587
48,48,12.5663706144,63678,14575,49110,33900,18728,26936.7314392,7625.16949448,52881.9379732,12245.7451567,28190.8745675,11630.5245891,27678.1045305,2751.33160202,79447.8457336,Gaston Middle School,2.2575788196,78.1141531693,12,1,7,196.19679553,204.437660032
50,50,12.5663706144,52307,9618,42685,33360,13152,16431.9754679,4521.19347452,34906.9883867,6648.03243215,16025.1781628,6278.7124083,16324.8100161,1511.54002054,52256.9749754,Hill Middle School,1.93438968509,75.9321542581,12,0,5,212.900030695,217.187702453
