OBJECTID,TEA,SLN,SCHOOLNAME,LEVEL,ADDRESS,CITY,ZIP,PHONE,WEBSITE,POINT_X,POINT_Y,MasterID,Feeder,HIGH_SLN
1,47,47,Franklin International Exploratory Academy Middle School,Middle,6920 Meadow Rd.,Dallas,75230,9725027100,http://www.dallasisd.org/franklin,-96.78454417,32.88553957,'057905047,Hillcrest,6
2,69,69,Seagoville Middle School,Middle,950 Woody Rd.,Dallas,75253,9728927100,http://www.dallasisd.org/seagovillems,-96.58334471,32.68191098,'057905069,Seagoville,15
3,354,354,Kennedy-Curry Middle School,Middle,6605 Sebring Dr.,Dallas,75241,9729251600,http://www.dallasisd.org/kennedycurry,-96.75786656,32.66095638,'057905354,Wilmer-Hutchins,380
4,62,62,Dade Middle School,Middle,2727 Grand Ave.,Dallas,75215,9727493800,http://www.dallasisd.org/dade,-96.77341356,32.77121228,'057905062,Madison,32
5,76,76,Lang Sr. Middle School,Middle,1678 Chenault St.,Dallas,75228,9729252400,http://www.dallasisd.org/lang,-96.68679803,32.80176309,'057905076,Skyline,25
6,353,353,Richards STEAM Academy Middle School,Middle,3831 N. Prairie Creek Rd.,Dallas,75227,9728925400,http://www.dallasisd.org/annrichards,-96.66629604,32.77002209,'057905353,Skyline,25
7,53,53,Long Middle School,Middle,6116 Reiger Ave.,Dallas,75214,9725024700,http://www.dallasisd.org/long,-96.75029681,32.80694386,'057905053,Wilson,22
8,55,55,Rusk Middle School,Middle,2929 Inwood Rd.,Dallas,75235,9729252000,http://www.dallasisd.org/rusk,-96.83487183,32.82671808,'057905055,North Dallas,24
9,79,79,Medrano Middle School,Middle,9815 Brockbank Dr,Dallas,75220,9729251300,http://www.dallasisd.org/panchomedrano,-96.87636135,32.87256123,'057905079,Jefferson,7
10,77,77,Garcia Middle School,Middle,700 E. Eighth St.,Dallas,75203,9725025500,http://www.dallasisd.org/garcia,-96.81388591,32.74985591,'057905077,Adamson,2
11,68,68,Quintanilla Sr. Middle School,Middle,2700 Remond Dr.,Dallas,75211,9725023200,http://www.dallasisd.org/quintanilla,-96.86566636,32.76196999,'057905068,Pinkston,12
12,59,59,Stockard Middle School,Middle,2300 S. Ravinia Dr.,Dallas,75211,9727945700,http://www.dallasisd.org/stockard,-96.86730849,32.72280038,'057905059,Molina,5
13,48,48,Gaston Middle School,Middle,9565 Mercer Dr.,Dallas,75228,9725025400,http://www.dallasisd.org/gaston,-96.69408557,32.82476871,'057905048,Adams,1
14,50,50,Hill Middle School,Middle,505 Easton Rd.,Dallas,75218,9725025700,http://www.dallasisd.org/hill,-96.70414493,32.85544612,'057905050,Adams,1
15,72,72,Zumwalt Middle School,Middle,2445 E. Ledbetter Dr.,Dallas,75216,9727493600,http://www.dallasisd.org/zumwalt,-96.78254939,32.69131048,'057905072,SOC,16
16,43,43,Browne Middle School,Middle,3333 Sprague Dr.,Dallas,75233,9725052500,http://www.dallasisd.org/browne,-96.87628509,32.69681812,'057905043,Kimball,8
17,100,100,Holmes Jr. Middle School,Middle,2939 St. Rita Dr.,Dallas,75233,2149327800,http://www.dallasisd.org/zwholmes,-96.86848385,32.71094913,'057905100,Kimball,8
18,284,284,Highland Meadows Elementary School,Elementary,8939 Whitewing Lane,Dallas,75238,9725025200,http://www.dallasisd.org/hmeadows,-96.68785493,32.8705869,'057905284,Conrad,28
19,280,280,Frank Elementary School,Elementary,5201 Celestial Rd.,Dallas,75254,9725025900,http://www.dallasisd.org/frank,-96.81790826,32.94775852,'057905280,Hillcrest,6
20,169,169,Kramer Elementary School,Elementary,7131 Midbury Dr.,Dallas,75230,9727948300,http://www.dallasisd.org/kramer,-96.78327495,32.90221796,'057905169,Hillcrest,6
21,167,167,Kleberg Elementary School,Elementary,1450 Edd Rd.,Dallas,75253,9727496500,http://www.dallasisd.org/kleberg,-96.60049237,32.68434393,'057905167,Seagoville,15
22,187,187,Moseley Elementary School,Elementary,10400 Rylie Rd.,Dallas,75217,9727496700,http://www.dallasisd.org/moseley,-96.6423473,32.68935608,'057905187,Spruce,17
23,305,305,Halliday Elementary School,Elementary,10210 Teagarden Rd.,Dallas,75217,9729251800,http://www.dallasisd.org/ebbyhalliday,-96.6470033,32.67269409,'057905305,Seagoville,15
24,142,142,Ervin Elementary School,Elementary,3722 Black Oak Dr.,Dallas,75241,9727493700,http://www.dallasisd.org/ervin,-96.76222554,32.67964113,'057905142,Wilmer-Hutchins,380
25,301,301,Wilmer-Hutchins Elementary School,Elementary,7475 J.J. Lemmon Rd.,Dallas,75241,9729252600,http://www.dallasisd.org/wilmerhutchinses,-96.72769528,32.65418876,'057905301,Wilmer-Hutchins,380
26,235,235,Alexander Elementary School,Elementary,1830 Goldwood Dr.,Dallas,75232,9727493100,http://www.dallasisd.org/alexander,-96.84764344,32.65600928,'057905235,Carter,23
